id,title,company,description,skills,min_experience,max_experience,location,remote,salary_min,salary_max,apply_url
j-001,Senior Backend Engineer,Stripe,"Build and scale global payment infrastructure and APIs. You will own services in Python, Ruby, and Go backed by PostgreSQL, deployed on AWS with Docker and Kubernetes.","python;go;postgresql;aws;docker;rest;microservices",5,10,"San Francisco, CA",1,160000,220000,https://stripe.com/jobs
j-002,AI Research Engineer,OpenAI,"Design, train and deploy large language models and multimodal AI systems. Work with PyTorch on frontier LLMs and distributed training clusters.","python;pytorch;machine learning;nlp;deep learning;cuda",3,8,"San Francisco, CA",1,200000,320000,https://openai.com/careers
j-003,Staff Frontend Engineer,Vercel,"Craft delightful user interfaces and next-generation web performance tools using Next.js, React, and TypeScript. Focus on UX, speed, and design systems.","javascript;react;typescript;next.js;css;html",4,9,"Remote",1,150000,210000,https://vercel.com/careers
j-004,Senior Data Scientist,Netflix,"Turn massive streaming data into intelligent recommendations. Build machine learning models with Python, pandas, and scikit-learn, and drive product decisions.","python;pandas;statistics;machine learning;sql;scikit-learn",3,7,"Los Gatos, CA",1,170000,240000,https://jobs.netflix.com
j-005,Lead DevOps / Infrastructure Engineer,Databricks,"Own our cloud data infrastructure end to end. Kubernetes, Terraform, and multi-cloud CI/CD pipelines across AWS and Azure.","aws;kubernetes;docker;terraform;ci/cd;linux",4,9,"Remote",1,165000,230000,https://www.databricks.com/company/careers
j-006,Full Stack Engineer,Linear,"Ship fast, beautiful product features across the full stack. React and TypeScript on the frontend, Node.js, GraphQL, and PostgreSQL on the backend.","javascript;react;node.js;graphql;postgresql;typescript",2,6,"Remote",1,140000,190000,https://linear.app/careers
j-007,Principal Product Manager,Figma,"Own the product vision and roadmap for collaborative design systems. Talk to users, prioritize features, and collaborate closely with design & engineering.","product management;agile;scrum;ux;design",4,9,"San Francisco, CA",1,180000,250000,https://www.figma.com/careers
j-008,Senior Data Engineer,Snowflake,"Build robust, high-throughput distributed data pipelines using Spark, Airflow, Python, and SQL on AWS cloud architecture.","python;spark;airflow;etl;sql;aws",3,8,"Remote",1,155000,215000,https://www.snowflake.com/careers
j-009,Senior Android Developer,Spotify,"Build native Android applications enjoyed by over 500M active listeners worldwide. Kotlin-first codebase with clean architecture.","kotlin;android;java;mobile",2,7,"New York, NY",1,145000,195000,https://lifeatspotify.com/jobs
j-010,Cybersecurity Systems Engineer,Cloudflare,"Defend global network infrastructure. Perform threat analysis, build security automation tools in Go/Python, and harden Linux systems.","cybersecurity;penetration testing;linux;python;go",3,8,"Remote",1,150000,205000,https://www.cloudflare.com/careers
j-011,Junior Backend Developer,GitHub,"Entry-level developer role on the platform engineering team. Learn on the job building Python and Go services with mentorship provided.","python;go;sql;git;rest",0,2,"Remote",1,95000,130000,https://github.com/about/careers
j-012,LLM Alignment & NLP Engineer,Anthropic,"Push the state of the art in safe natural language processing and AI alignment. Deep learning with PyTorch, research mindset, and LLM evaluation.","python;nlp;pytorch;deep learning;machine learning",4,10,"San Francisco, CA",1,220000,350000,https://www.anthropic.com/careers
